co_kV:	690.0026667
co_mA:	34689.19811
co_sec:	29106
co_D:	-67396.55975
co_size_times:	3.9982002504686105

calculate formula:
DAP_uGym2 = (co_kV*kV + co_mA*mA + co_sec*sec + co_D) * co_size_times / 100000


kV	uA	ms	DAP_uGym2
62	3150	500	3.9665176973264717
62	3150	550	4.024703505571541
62	3150	625	4.111982217939146
62	3150	700	4.19926093030675
62	3150	800	4.31563254679689
62	3150	900	4.432004163287029
62	3150	1000	4.548375779777168
62	3150	1100	4.664747396267308
62	3150	1250	4.839304821002518
62	3150	1400	5.013862245737726
62	4000	500	5.145419762188108
62	4000	550	5.203605570433178
62	4000	625	5.290884282800783
62	4000	700	5.378162995168386
62	4000	800	5.494534611658526
62	4000	900	5.610906228148665
62	4000	1000	5.727277844638806
62	4000	1100	5.843649461128944
62	4000	1250	6.018206885864154
62	4000	1400	6.192764310599362
62	5000	500	6.532363367907681
62	5000	550	6.59054917615275
62	5000	625	6.677827888520356
62	5000	700	6.765106600887958
62	5000	800	6.881478217378098
62	5000	900	6.997849833868237
62	5000	1000	7.114221450358378
62	5000	1100	7.230593066848517
62	5000	1250	7.4051504915837265
62	5000	1400	7.579707916318934
63	500	500	0.31870483051784404
63	500	550	0.3768906387629138
63	500	625	0.4641693511305182
63	500	700	0.5514480634981233
63	500	800	0.6678196799882627
63	500	900	0.7841912964784018
63	500	1000	0.900562912968541
63	500	1100	1.0169345294586805
63	500	1250	1.1914919541938893
63	500	1400	1.3660493789290982
63	625	500	0.4920727812327906
63	625	550	0.5502585894778603
63	625	625	0.6375373018454648
63	625	700	0.7248160142130697
63	625	800	0.8411876307032093
63	625	900	0.9575592471933485
63	625	1000	1.0739308636834874
63	625	1100	1.190302480173627
63	625	1250	1.364859904908836
63	625	1400	1.5394173296440448
63	800	500	0.7347879122337158
63	800	550	0.7929737204787854
63	800	625	0.8802524328463899
63	800	700	0.9675311452139943
63	800	800	1.0839027617041341
63	800	900	1.200274378194273
63	800	1000	1.3166459946844125
63	800	1100	1.4330176111745523
63	800	1250	1.6075750359097611
63	800	1400	1.78213246064497
63	1000	500	1.0121766333776303
63	1000	550	1.0703624416227
63	1000	625	1.1576411539903044
63	1000	700	1.2449198663579086
63	1000	800	1.3612914828480485
63	1000	900	1.4776630993381874
63	1000	1000	1.594034715828327
63	1000	1100	1.7104063323184668
63	1000	1250	1.8849637570536755
63	1000	1400	2.059521181788884
63	1250	500	1.3589125348075233
63	1250	550	1.4170983430525932
63	1250	625	1.5043770554201976
63	1250	700	1.5916557677878018
63	1250	800	1.7080273842779414
63	1250	900	1.8243990007680806
63	1250	1000	1.9407706172582202
63	1250	1100	2.05714223374836
63	1250	1250	2.2316996584835684
63	1250	1400	2.4062570832187777
63	1575	500	1.8096692066663844
63	1575	550	1.8678550149114543
63	1575	625	1.9551337272790585
63	1575	700	2.0424124396466627
63	1575	800	2.1587840561368026
63	1575	900	2.275155672626942
63	1575	1000	2.391527289117081
63	1575	1100	2.5078989056072207
63	1575	1250	2.6824563303424296
63	1575	1400	2.8570137550776384
63	2000	500	2.399120239097203
63	2000	550	2.4573060473422723
63	2000	625	2.5445847597098767
63	2000	700	2.6318634720774807
63	2000	800	2.7482350885676214
63	2000	900	2.86460670505776
63	2000	1000	2.9809783215478993
63	2000	1100	3.097349938038039
63	2000	1250	3.271907362773248
63	2000	1400	3.446464787508457
63	2500	500	3.092592041956989
63	2500	550	3.1507778502020583
63	2500	625	3.238056562569663
63	2500	700	3.3253352749372667
63	2500	800	3.4417068914274074
63	2500	900	3.5580785079175463
63	2500	1000	3.6744501244076857
63	2500	1100	3.790821740897825
63	2500	1250	3.9653791656330344
63	2500	1400	4.139936590368244
63	3150	500	3.994105385674711
63	3150	550	4.05229119391978
63	3150	625	4.139569906287385
63	3150	700	4.226848618654989
63	3150	800	4.34322023514513
63	3150	900	4.459591851635269
63	3150	1000	4.5759634681254076
63	3150	1100	4.692335084615547
63	3150	1250	4.866892509350756
63	3150	1400	5.041449934085965
63	4000	500	5.173007450536348
63	4000	550	5.231193258781417
63	4000	625	5.318471971149022
63	4000	700	5.405750683516625
63	4000	800	5.522122300006766
63	4000	900	5.638493916496904
63	4000	1000	5.754865532987044
63	4000	1100	5.871237149477183
63	4000	1250	6.045794574212394
63	4000	1400	6.220351998947601
63	5000	500	6.55995105625592
63	5000	550	6.61813686450099
63	5000	625	6.705415576868594
63	5000	700	6.792694289236197
63	5000	800	6.909065905726338
63	5000	900	7.025437522216476
63	5000	1000	7.141809138706617
63	5000	1100	7.258180755196755
63	5000	1250	7.432738179931966
63	5000	1400	7.607295604667174
64	500	500	0.34629251886608375
64	500	550	0.4044783271111535
64	500	625	0.49175703947875793
64	500	700	0.5790357518463624
64	500	800	0.695407368336502
64	500	900	0.8117789848266416
64	500	1000	0.9281506013167806
64	500	1100	1.0445222178069202
64	500	1250	1.219079642542129
64	500	1400	1.393637067277338
64	625	500	0.5196604695810303
64	625	550	0.5778462778261001
64	625	625	0.6651249901937044
64	625	700	0.7524037025613088
64	625	800	0.8687753190514486
64	625	900	0.9851469355415882
64	625	1000	1.1015185520317272
64	625	1100	1.2178901685218668
64	625	1250	1.3924475932570757
64	625	1400	1.5670050179922845
64	800	500	0.7623756005819554
64	800	550	0.8205614088270252
64	800	625	0.9078401211946296
64	800	700	0.9951188335622341
64	800	800	1.1114904500523737
64	800	900	1.2278620665425133
64	800	1000	1.3442336830326522
64	800	1100	1.460605299522792
64	800	1250	1.635162724258001
64	800	1400	1.8097201489932098
64	1000	500	1.0397643217258699
64	1000	550	1.0979501299709395
64	1000	625	1.1852288423385442
64	1000	700	1.2725075547061484
64	1000	800	1.3888791711962882
64	1000	900	1.5052507876864278
64	1000	1000	1.6216224041765668
64	1000	1100	1.7379940206667064
64	1000	1250	1.9125514454019152
64	1000	1400	2.087108870137124
64	1250	500	1.386500223155763
64	1250	550	1.4446860314008327
64	1250	625	1.5319647437684374
64	1250	700	1.6192434561360416
64	1250	800	1.7356150726261812
64	1250	900	1.851986689116321
64	1250	1000	1.96835830560646
64	1250	1100	2.0847299220966
64	1250	1250	2.259287346831808
64	1250	1400	2.4338447715670175
64	1575	500	1.837256895014624
64	1575	550	1.8954427032596939
64	1575	625	1.9827214156272983
64	1575	700	2.0700001279949025
64	1575	800	2.1863717444850423
64	1575	900	2.302743360975182
64	1575	1000	2.4191149774653207
64	1575	1100	2.5354865939554605
64	1575	1250	2.7100440186906685
64	1575	1400	2.8846014434258787
64	2000	500	2.4267079274454426
64	2000	550	2.484893735690512
64	2000	625	2.572172448058117
64	2000	700	2.659451160425721
64	2000	800	2.7758227769158608
64	2000	900	2.892194393406
64	2000	1000	3.00856600989614
64	2000	1100	3.1249376263862785
64	2000	1250	3.299495051121488
64	2000	1400	3.474052475856696
64	2500	500	3.120179730305229
64	2500	550	3.1783655385502985
64	2500	625	3.2656442509179033
64	2500	700	3.352922963285507
64	2500	800	3.4692945797756467
64	2500	900	3.5856661962657865
64	2500	1000	3.702037812755926
64	2500	1100	3.8184094292460644
64	2500	1250	3.9929668539812746
64	2500	1400	4.167524278716482
64	3150	500	4.021693074022951
64	3150	550	4.07987888226802
64	3150	625	4.167157594635626
64	3150	700	4.25443630700323
64	3150	800	4.370807923493368
64	3150	900	4.487179539983508
64	3150	1000	4.603551156473648
64	3150	1100	4.719922772963788
64	3150	1250	4.8944801976989964
64	3150	1400	5.069037622434205
64	4000	500	5.200595138884587
64	4000	550	5.258780947129656
64	4000	625	5.346059659497262
64	4000	700	5.433338371864866
64	4000	800	5.549709988355005
64	4000	900	5.666081604845146
64	4000	1000	5.782453221335285
64	4000	1100	5.898824837825424
64	4000	1250	6.073382262560632
64	4000	1400	6.247939687295842
64	5000	500	6.587538744604159
64	5000	550	6.645724552849229
64	5000	625	6.733003265216834
64	5000	700	6.820281977584439
64	5000	800	6.936653594074577
64	5000	900	7.0530252105647175
64	5000	1000	7.1693968270548565
64	5000	1100	7.285768443544997
64	5000	1250	7.460325868280205
64	5000	1400	7.634883293015414
65	500	500	0.37388020721432347
65	500	550	0.43206601545939266
65	500	625	0.5193447278269977
65	500	700	0.6066234401946016
65	500	800	0.7229950566847411
65	500	900	0.8393666731748807
65	500	1000	0.9557382896650204
65	500	1100	1.0721099061551593
65	500	1250	1.2466673308903689
65	500	1400	1.4212247556255777
65	625	500	0.54724815792927
65	625	550	0.6054339661743398
65	625	625	0.6927126785419442
65	625	700	0.7799913909095486
65	625	800	0.8963630073996882
65	625	900	1.0127346238898272
65	625	1000	1.129106240379967
65	625	1100	1.2454778568701066
65	625	1250	1.4200352816053152
65	625	1400	1.594592706340524
65	800	500	0.7899632889301952
65	800	550	0.8481490971752649
65	800	625	0.9354278095428693
65	800	700	1.0227065219104738
65	800	800	1.1390781384006134
65	800	900	1.2554497548907524
65	800	1000	1.371821371380892
65	800	1100	1.4881929878710318
65	800	1250	1.6627504126062407
65	800	1400	1.8373078373414493
65	1000	500	1.0673520100741096
65	1000	550	1.1255378183191793
65	1000	625	1.212816530686784
65	1000	700	1.3000952430543882
65	1000	800	1.416466859544528
65	1000	900	1.532838476034667
65	1000	1000	1.6492100925248063
65	1000	1100	1.7655817090149462
65	1000	1250	1.940139133750155
65	1000	1400	2.1146965584853636
65	1250	500	1.4140879115040026
65	1250	550	1.4722737197490725
65	1250	625	1.5595524321166772
